Movie Title,Budget,IMDb Score,Gross
Avatar ,237000000,7.9,760505847
Pirates of the Caribbean: At World's End ,300000000,7.1,309404152
Spectre ,245000000,6.8,200074175
The Dark Knight Rises ,250000000,8.5,448130642
John Carter ,263700000,6.6,73058679
Spider-Man 3 ,258000000,6.2,336530303
Tangled ,260000000,7.8,200807262
Avengers: Age of Ultron ,250000000,7.5,458991599
Harry Potter and the Half-Blood Prince ,250000000,7.5,301956980
Batman v Superman: Dawn of Justice ,250000000,6.9,330249062
Superman Returns ,209000000,6.1,200069408
Quantum of Solace ,200000000,6.7,168368427
Pirates of the Caribbean: Dead Man's Chest ,225000000,7.3,423032628
The Lone Ranger ,215000000,6.5,89289910
Man of Steel ,225000000,7.2,291021565
The Chronicles of Narnia: Prince Caspian ,225000000,6.6,141614023
The Avengers ,220000000,8.1,623279547
Pirates of the Caribbean: On Stranger Tides ,250000000,6.7,241063875
Men in Black 3 ,225000000,6.8,179020854
The Hobbit: The Battle of the Five Armies ,250000000,7.5,255108370
The Amazing Spider-Man ,230000000,7,262030663
Robin Hood ,200000000,6.7,105219735
The Hobbit: The Desolation of Smaug ,225000000,7.9,258355354
The Golden Compass ,180000000,6.1,70083519
King Kong ,207000000,7.2,218051260
Titanic ,200000000,7.7,658672302
Captain America: Civil War ,250000000,8.2,407197282
Battleship ,209000000,5.9,65173160
Jurassic World ,150000000,7,652177271
Skyfall ,200000000,7.8,304360277
Spider-Man 2 ,200000000,7.3,373377893
Iron Man 3 ,200000000,7.2,408992272
Alice in Wonderland ,200000000,6.5,334185206
